PlayerID,TeamID,TeamCode,TeamName,TeamImage,PlayerName,PlayerImage,BattingType,BowlingProficiency,PlayerSkill,IsCaptain,IsViceCaptain,IsWK,IsNonDomestic,Season
2019-100mb00000000189-ac8c327a44b711,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Riyan Parag (c),https://scores.iplt20.com/ipl/playerimages/OC3siqV01q1742709261189.png,Right Hand Batsman,Right Arm Leg Spinner,All Rounder,1,0,0,0,2025
2020-100mb00000000533-e895f279639811,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Yashasvi Jaiswal ,https://scores.iplt20.com/ipl/playerimages/ukzlEOP1L51742709341533.png,Left Hand Batsman,Right Arm Leg Spinner,Batsman,0,0,0,0,2025
2024-100mb00000003112-76787b7ddf9f11,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Shubham Dubey  (IP) ,https://scores.iplt20.com/ipl/playerimages/365GhCUc9g17427092983112.png,Left Hand Batsman,Right Arm Off Spinner,Batsman,0,0,0,0,2025
2019-100mb00000000148-ef59629644a811,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Nitish Rana ,https://scores.iplt20.com/ipl/playerimages/BeMSecnzSs1742709231148.png,Left Hand Batsman,Right Arm Off Spinner,Batsman,0,0,0,0,2025
2022-100mb00000001004-da6e207ea44e11,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Dhruv Jurel (wk),https://scores.iplt20.com/ipl/playerimages/436MRXri5H17427091681004.png,Right Hand Batsman,Left Arm Knuckleball,Wicket Keeper,0,0,1,0,2025
2019-100mb00000000210-b8addb3444bb11,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Shimron Hetmyer ,https://scores.iplt20.com/ipl/playerimages/HDuPj45gR71742709307210.png,Left Hand Batsman,Right Arm Leg Spinner,Batsman,0,0,0,1,2025
2020-100mb00000000377-c8cec37e2dec11,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Wanindu Hasaranga ,https://scores.iplt20.com/ipl/playerimages/0uXoEjWvMN1742709252377.png,Right Hand Batsman,Right Arm Leg Spinner,All Rounder,0,0,0,1,2025
2019-100mb00000000181-80151ce844b611,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Jofra Archer ,https://scores.iplt20.com/ipl/playerimages/skqIaPdPr81742709187181.png,Right Hand Batsman,Right Arm Fast Medium,Bowler,0,0,0,1,2025
2021-100mb00000000629-11c540100bd311,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Maheesh Theekshana ,https://scores.iplt20.com/ipl/playerimages/u7wUyY1uqd1742709220629.png,Right Hand Batsman,Right Arm Off Spinner,Bowler,0,0,0,1,2025
2020-100mb00000000539-04833b65639b11,18,RR,Rajasthan Royals,https://scores.iplt20.com/ipl/teamlogos/sSNjJEkBAx1742900310RR---New-Logo.png,Tushar Deshpande ,https://scores.iplt20.com/ipl/playerimages/oKUYpVNa9Q1742709319539.png,Left Hand Batsman,Right Arm Medium Pace,Bowler,0,0,0,0,2025
