PlayerID,TeamID,TeamCode,TeamName,TeamImage,PlayerName,PlayerImage,BattingType,BowlingProficiency,PlayerSkill,IsCaptain,IsViceCaptain,IsWK,IsNonDomestic,Season
2019-100mb00000000062-8fa4884a17f311,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Shubman Gill (c),https://scores.iplt20.com/ipl/playerimages/EkLXveXpr9174280911462.png,Right Hand Batsman,Right Arm Off Spinner,Batsman,1,0,0,0,2025
2022-100mb00000000976-79aa33cca44611,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Sai Sudharsan ,https://scores.iplt20.com/ipl/playerimages/co2jlQMK681742809071976.png,Left Hand Batsman,Right Arm Leg Spinner,Batsman,0,0,0,0,2025
2019-100mb00000000182-b78f12ef44b611,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Jos Buttler (wk),https://scores.iplt20.com/ipl/playerimages/TrOBcgbhtU1742808869182.png,Right Hand Batsman,Right Arm Medium Pace,Wicket Keeper,0,0,1,1,2025
2018-100mb00000000050-4663b710f88b11,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Ishant Sharma  (IP) ,https://scores.iplt20.com/ipl/playerimages/UaOTQWVvln174280884550.png,Right Hand Batsman,Right Arm Fast Medium,Bowler,0,0,0,0,2025
2021-100mb00000000590-85eaa6f291e011,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Shahrukh Khan ,https://scores.iplt20.com/ipl/playerimages/d7uaJJ9eeG1742809080590.png,Right Hand Batsman,Right Arm Off Spinner,Batsman,0,0,0,0,2025
2019-100mb00000000120-7489ddcc449711,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Rahul Tewatia ,https://scores.iplt20.com/ipl/playerimages/3UHYOQeeK61742809043120.png,Left Hand Batsman,Right Arm Leg Spinner,All Rounder,0,0,0,0,2025
2019-100mb00000000218-42d9d6f544bf11,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Rashid Khan ,https://scores.iplt20.com/ipl/playerimages/wj6BsuRxs21742809055218.png,Right Hand Batsman,Right Arm Leg Spinner,Bowler,0,0,0,1,2025
2020-100mb00000000544-980117aa639c11,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Sai Kishore ,https://scores.iplt20.com/ipl/playerimages/s2TabrjB6s1742808993544.png,Left Hand Batsman,Left Arm Orthodox,Bowler,0,0,0,0,2025
2019-100mb00000000116-dbd48930449611,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Kagiso Rabada ,https://scores.iplt20.com/ipl/playerimages/LOsfWK8vVb1742808894116.png,Left Hand Batsman,Right Arm Fast Medium,Bowler,0,0,0,1,2025
2019-100mb00000000063-d9aa7a01187311,35,GT,Gujarat Titans,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,Mohammed Siraj ,https://scores.iplt20.com/ipl/playerimages/MjMkxNlxwi174280897663.png,Right Hand Batsman,Right Arm Fast Medium,Bowler,0,0,0,0,2025
